开始节点,关系,结束节点,text
数据类型,相关,存储类型,讨论 C51 数据类型时需提及存储类型。
数据类型,相关,8051单片机存储器结构,C51 定义的数据类型与 8051 单片机存储器结构相关。
8051单片机,包含,片内数据存储区,8051 单片机包含片内数据存储区、片外数据存储区、程序存储区。
8051单片机,包含,片外数据存储区,8051 单片机包含片内数据存储区、片外数据存储区、程序存储区。
8051单片机,包含,程序存储区,8051 单片机包含片内数据存储区、片外数据存储区、程序存储区。
片内数据存储区,类型,data,内部数据存储区可分为 data、idata 和 bdata 三种类型。
片内数据存储区,类型,idata,内部数据存储区可分为 data、idata 和 bdata 三种类型。
片内数据存储区,类型,bdata,内部数据存储区可分为 data、idata 和 bdata 三种类型。
片外数据存储区,类型,xdata,C51 提供 xdata 和 pdata 来访问片外数据存储区。
片外数据存储区,类型,pdata,C51 提供 xdata 和 pdata 来访问片外数据存储区。
程序存储区,类型,code,C51 提供 code 存储类型来访问程序存储区。
C51语言存储类型,相关,8051存储空间,C51 语言存储类型与 8051 存储空间存在对应关系。
DATA区,相关,C51语言存储类型,DATA 区的存储类型标识符为 data，属于 C51 语言存储类型。
DATA区,相关,8051存储空间,DATA 区通常指 8051 片内 RAM 的 128 字节内部数据存储区，是 8051 存储空间的一部分。
DATA区,包含,程序变量,DATA 区除包含堆栈和寄存器组外，还包含程序变量。
DATA区,包含,堆栈,DATA 区除包含堆栈和寄存器组外，还包含程序变量。
DATA区,包含,寄存器组,DATA 区除包含堆栈和寄存器组外，还包含程序变量。
data,等价,DATA区存储类型标识符,DATA 区声明中的存储类型标识符为 data。
data,相关,8051片内RAM的128字节内部数据存储变量,data 通常指 8051 片内 RAM 的 128 字节内部数据存储的变量，且可直接寻址。
外部数据存储器地址段,包含,数据存储器地址,外部数据存储器地址段中包含数据存储器地址和外部 I/O 口地址。
外部数据存储器地址段,包含,外部I/O口地址,外部数据存储器地址段中包含数据存储器地址和外部 I/O 口地址。
片内RAM,并列,片外RAM,单片机存储区中，片内 RAM 和片外 RAM 是并列的不同存储区域。
C51语言存储模式,包含,SMALL存储模式,C51 语言支持多种存储模式，包括SMALL 存储模式、COMPACT 存储模式、LARGE 存储模式。
C51语言存储模式,包含,COMPACT存储模式,C51 语言支持多种存储模式，包括SMALL 存储模式、COMPACT 存储模式、LARGE 存储模式。
C51语言存储模式,包含,LARGE存储模式,C51 语言支持多种存储模式，包括SMALL 存储模式、COMPACT 存储模式、LARGE 存储模式。
SMALL存储模式,相关,参数传递,在 SMALL 模式下，参数传递在片内数据存储区中完成。
C51语言,包含,混合模式,C51 语言支持混合模式，例如在 LARGE 模式下可将一些函数放入 SMALL 模式加快执行速度。
C51语言,相关,特殊功能寄存器,C51 语言允许通过 sfr、sbit 关键字或头文件访问 8051 单片机的特殊功能寄存器。
C51语言,包含,sfr,C51 语言提供 sfr 关键字用于定义特殊功能寄存器，如 sfr IE = 0xA8 定义中断允许寄存器。
C51语言,包含,sfr16,C51 语言提供 sfr16 关键字用于定义 16 位特殊功能寄存器，如 sfr16 DPTR = 0x82 定义数据指针 DPTR。
C51语言,包含,sbit,C51 语言提供 sbit 关键字用于特殊功能寄存器的位操作。
特殊功能寄存器,相关,直接寻址,对 8051 单片机特殊功能寄存器的访问只能采用直接寻址方式。
特殊功能寄存器,包含,可寻址位,特殊功能寄存器包含可寻址位，可通过特定方法访问。
PSW,包含,CY,PSW 寄存器包含 CY 位，CY 是 PSW 的第 7 位，地址为 0xD7。
PSW,包含,OV,PSW 寄存器包含 OV 位，OV 是 PSW 的第 2 位，地址为 0xD2。
P1口,包含,P1.7,P1 口包含 P1.7 位，通过 sbit P1_7 = P1^7 定义，地址为 0x97。
P1口,包含,P1.6,P1 口包含 P1.6 位，通过 sbit P1_6 = P1^6 定义，地址为 0x96。
P1口,包含,P1.5,P1 口包含 P1.5 位，通过 sbit P1_5 = P1^5 定义，地址为 0x95。
P1口,包含,P1.4,P1 口包含 P1.4 位，通过 sbit P1_4 = P1^4 定义，地址为 0x94。
P1口,包含,P1.3,P1 口包含 P1.3 位，通过 sbit P1_3 = P1^3 定义，地址为 0x93。
P1口,包含,P1.2,P1 口包含 P1.2 位，通过 sbit P1_2 = P1^2 定义，地址为 0x92。
P1口,包含,P1.1,P1 口包含 P1.1 位，通过 sbit P1_1 = P1^1 定义，地址为 0x91。
P1口,包含,P1.0,P1 口包含 P1.0 位，通过 sbit P1_0 = P1^0 定义，地址为 0x90。
C51语言,相关,位变量,C51 语言采用 “bit” 关键字定义位变量，是 C51 与标准 C 的不同之处。
8051单片机,相关,位操作,8051 单片机能够进行位操作，使得 C51 可定义位变量。
C51语言基本运算,包含,算术运算,C51 语言的基本运算包括算术运算，算术运算包含多种算术运算符。
C51语言基本运算,包含,关系运算,C51 语言的基本运算包括关系运算，通过关系运算符判断两个数之间的关系。
C51语言基本运算,包含,逻辑运算,C51 语言的基本运算包括逻辑运算，逻辑运算结果只有 “真” 和 “假”，由逻辑运算符实现。
C51语言基本运算,包含,位运算,C51 语言的基本运算包括位运算，通过位运算符对数据进行位操作。
C51语言基本运算,包含,赋值运算,C51 语言的基本运算包括赋值运算，用于给变量赋值。
算术运算,包含,算术运算符,算术运算是通过算术运算符实现的，如加、减、乘、除、自增、自减等运算符。
逻辑运算,包含,逻辑运算符,逻辑运算是通过逻辑运算符实现的，逻辑运算符包括逻辑与、逻辑或、逻辑非。
关系运算,包含,关系运算符,关系运算是通过关系运算符实现的，关系运算符用于判断两个数的大小、相等与否等关系。
位运算,包含,位运算符,位运算是通过位运算符实现的，位运算符包括按位与、按位或、按位异或等。
算术运算符,包含,自增运算符,自增运算符是算术运算符的一种，使变量自动加 1，放在变量前和变量后效果不同。
算术运算符,包含,自减运算符,自减运算符是算术运算符的一种，使变量自动减 1，放在变量前和变量后效果不同。
I/O口,类型,PORTA,PORTA 是一个扩展的 I/O 口，在 C51 程序中被定义和操作。
C51程序结构,包含,顺序结构,C51 程序结构包括顺序、分支和循环结构，不同结构影响程序执行流程。
C51程序结构,包含,分支结构,C51 程序结构包括顺序、分支和循环结构，不同结构影响程序执行流程。
C51程序结构,包含,循环结构,C51 程序结构包括顺序、分支和循环结构，不同结构影响程序执行流程。
分支控制语句,包含,if语句,if 语句是实现分支控制的语句之一，根据条件判定结果执行不同操作。
分支控制语句,包含,switch语句,switch 语句是实现分支控制的语句之一，用于多分支选择结构。
C51语言,包含,if语句,C51 语言提供 if 语句用于实现分支控制，有 3 种形式。
C51语言,包含,switch语句,C51 语言提供 switch 语句用于多分支选择，是分支控制的一种方式。
C51语言,包含,while语句,C51 语言提供 while 语句用于实现循环结构。
C51语言,包含,do-while语句,C51 语言提供 do - while 语句用于实现循环结构。
C51语言,包含,for语句,C51 语言提供 for 语句用于实现循环结构。
if语句,类型,单分支结构,if 语句的一种形式，结构为 if (表达式){语句}，条件成立执行语句，否则跳过。
if语句,类型,双分支结构,if 语句的一种形式，结构为 if (表达式){语句 1} else {语句 2}，实现双分支选择。
if语句,类型,多分支结构,if 语句的一种形式，相当于串行多分支选择结构，有多个 else if 分支。
AT89S8051单片机,包含,P1口,AT89S8051 单片机包含 P1 口，P1 口可用于输入输出操作。
晶体振荡器,相关,8051单片机指令执行时间,晶体振荡器的频率决定 8051 单片机指令执行时间的计时标准，影响软件延时的计算。
C51语言,包含,break语句,C51 语言提供 break 语句，可用于跳出 switch 循环体或循环结构中的本层循环。
C51语言,包含,continue语句,C51 语言提供 continue 语句，用于停止当前层循环并尝试下一层循环。
C51语言,包含,goto语句,C51 语言提供 goto 语句，是无条件转移语句，可使程序指针跳转到指定标号处。
数组,类型,整型数组,数组的一种类型，是整型变量的有序结合。
数组,类型,字符型数组,数组的一种类型，是字符型变量的有序结合。
数组,包含,数组元素,数组由数组元素组成，数组元素是数组中的数据。
C51语言,包含,数组,C51 语言中数组是重要的数据结构，有多种类型且应用广泛。
数组,类型,一维数组,数组的一种类型，由具有一个下标的数组元素组成，定义形式为 “类型说明符数组名 [元素个数]”。
数组,类型,二维数组,数组的一种类型，具有两个下标，定义形式为 “类型说明符数组名 [行数][列数]”。
数组,类型,多维数组,数组的一种类型，具有两个或两个以上下标，二维数组是多维数组的一种特殊情况。
数组,类型,字符数组,数组的一种类型，元素为字符型，可存储字符串，定义和赋值有特定规则。
数组,包含,数组元素,数组由数组元素组成，通过下标访问数组中的各个元素。
字符数组,相关,字符串常量,字符数组可用于存储字符串常量，C51 编译器会在字符串末尾自动添加结束符 '\0'。
字符,相关,ASCII码值,用单引号括起来的字符代表其 ASCII 码值，如‘a’表示 a 的 ASCII 码值 61H。
C51语言,包含,查表法,C51 编程中，查表法是一种有效的计算和数据处理方法，常用于数学运算和传感器数据处理等。
C51语言,包含,指针,C51 语言支持通用指针和存储器指针两种不同类型的指针。
数组,类型,square数组,square 数组是在 C51 程序中定义的无符号字符型数组，存储 0 - 9 的平方值。
C51语言,包含,function函数,function 函数是在 C51 程序中定义的函数，用于处理数据，如从数组中查表获取数据。
C51语言,包含,main函数,main 函数是 C51 程序的主函数，用于调用其他函数和控制程序流程。
8051单片机,相关,C51编程,8051 单片机存储资源有限，在 C51 编程时需根据需求选择合适的数组大小，避免浪费存储空间。
指针,类型,通用指针,通用指针是 C51 支持的一种指针类型，声明和使用与标准 C 语言一样，用 3 字节存储指针，速度较慢，适用于目标存储器空间不明确时。
指针,类型,存储器指针,存储器指针是 C51 支持的一种指针类型，在定义时指明存储器类型，总是指向特定的存储器空间。
通用指针,包含,pz指针变量,pz 是一个通用指针变量，定义形式符合通用指针的定义，用 3 字节存储指针。
存储器指针,包含,str指针变量,str 是一个存储器指针变量，指向 xdata 区中的 char 型数据，定义时指明了存储器类型。
存储器指针,包含,pd指针变量,pd 是一个存储器指针变量，指向外部 RAM 区中的 int 型整数，定义时指明了存储器类型。
存储器指针,相关,存储空间,存储器指针根据所指向存储区类型确定指针长度，指向 data、bdata、idata、pdata 存储区的指针需 1B，指向 code 和 xdata 存储区的指针需 2B，可节省存储空间。
函数,类型,主函数,主函数是 C51 程序的入口函数，名称为 main，一个 C51 程序必须至少有一个主函数，整个程序从主函数开始执行。
函数,类型,普通函数,普通函数是 C51 程序中除主函数外的其他函数，可分为标准库函数和用户自定义函数。
普通函数,类型,标准库函数,标准库函数由 C51 编译器提供，用户可直接调用，调用时需包含相应头文件，如调用 printf 函数需包含 stdio.h 头文件。
普通函数,类型,用户自定义函数,用户自定义函数是用户根据自身需求编写的函数，从定义形式上可分为无参函数、有参函数和空函数。
用户自定义函数,类型,无参函数,无参函数在被调用时既无参数输入，也不返回结果，一般用于完成特定操作，定义时返回值类型标识符可省略。
C51语言,相关,stdio.h,stdio.h 是 C51 语言中的头文件，包含了一些标准输入输出函数的声明，如 printf 函数，程序调用相关函数时需包含该头文件。
stdio.h,包含,printf函数声明,stdio.h 头文件包含 printf 函数的声明，使得程序在调用 printf 函数时能够正确识别和使用该函数。
有参函数,包含,形式参数,有参函数定义时，函数名后的括号中的变量为形式参数，用于接收实际参数传递的数据，如 max 函数中的 a、b。
返回语句,等价,return(),return()为返回语句。
8051单片机,相关,中断服务函数,8051 单片机的中断处理需要使用 C51 编译器扩展的中断服务函数，interrupt 后的 n 取值 0 - 4 代表中断号。
变量,类型,局部变量,局部变量是在某一个函数内部存在的变量，只在该函数内部有效。
变量,类型,全局变量,全局变量在整个源文件中有效，从定义点到源文件结束的所有函数都可访问，可使用 extern 或 static 修饰。
全局变量,相关,extern,如果在定义前的函数或其他源文件需要访问全局变量，需使用 extern 关键词进行说明。
全局变量,相关,static,使用 static 关键词定义的全局变量为静态全局变量，只能在定义的源文件内使用。
单片机,包含,程序存储区,单片机的存储区间包含程序存储区，用于存储程序代码。
单片机,包含,静态存储区,单片机的存储区间包含静态存储区，全局变量存放在此，程序开始运行时分配存储空间。
单片机,包含,动态存储区,单片机的存储区间包含动态存储区，局部变量存放在此，进入函数时分配存储空间。
C51语言,包含,宏定义,C51 语言支持宏定义，宏定义属于预处理指令，可简化变量书写，增强程序可读性。
C51语言,包含,文件包含,C51 语言支持文件包含，用于将其他文件的内容包含到当前程序中，如包含头文件。
宏定义,类型,简单的宏定义,简单的宏定义是宏定义的一种类型，格式为 “#define 宏替换名 宏替换体”，常用于简化代码书写。
宏定义,类型,带参数的宏定义,带参数的宏定义是宏定义的一种类型，与简单宏定义不同，可根据参数进行不同的替换操作。
简单的宏定义,包含,#define,#define 是简单宏定义指令的关键词，用于启动宏定义操作。
简单的宏定义,包含,宏替换名,简单宏定义中，宏替换名一般用大写字母表示，在编译时被宏替换体替代。
简单的宏定义,包含,宏替换体,简单宏定义中，宏替换体可以是数值常数、算术表达式、字符和字符串等，用于替换宏替换名。
文件包含,包含,#include,#include 是文件包含操作的指令关键词，用于指定要包含的文件。
文件包含,相关,reg51.h,在 C51 程序中，使用 “#include<reg51.h>” 将 8051 单片机的特殊功能寄存器包含文件包含到程序中，方便访问特殊功能寄存器。
文件包含,相关,reg52.h,在 C51 程序中，使用 “#include<reg52.h>” 将 8052 单片机的特殊功能寄存器包含文件包含到程序中，方便访问特殊功能寄存器。
文件包含,相关,stdio.h,"在 C51 程序中，使用 “#include< stdio.h>” 或 “#include""stdio.h""” 将标准输入、输出头文件包含到程序中，用于调用输入 / 输出流函数。"
文件包含,相关,stdlib.h,在 C51 程序中，使用文件包含操作将 stdlib.h 包含进来，以便使用其中的动态内存分配函数。
文件包含,相关,string.h,在 C51 程序中，使用文件包含操作将 string.h 包含进来，以便使用其中的缓冲区处理函数。
文件包含,相关,absacc.h,在 C51 程序中，使用文件包含操作将 absacc.h 包含进来，该文件定义了确定各类存储空间绝对地址的宏。
特殊功能寄存器包含文件,类型,reg51.h,reg51.h 是特殊功能寄存器包含文件，包含了所有 8051 的 sfr 及其位定义，用于访问 8051 单片机的特殊功能寄存器。
特殊功能寄存器包含文件,类型,reg52.h,reg52.h 是特殊功能寄存器包含文件，包含了所有 8052 的 sfr 及其位定义，用于访问 8052 单片机的特殊功能寄存器。
绝对地址包含文件,类型,absacc.h,absacc.h 是绝对地址包含文件，定义了确定各类存储空间绝对地址的宏，方便对特定存储区域进行操作。
8051单片机,类型,AT89C51,AT89C51 是 8051 单片机的一种类型，在 Keil C51 中创建项目时可选择。
8051单片机,类型,AT89S51,AT89S51 是 8051 单片机的一种类型，在 Keil C51 中选择单片机时，对于 AT89S51 也选择 AT89C51。
特殊功能寄存器,相关,单片机,特殊功能寄存器 SFR 的实质是各外围部件的控制寄存器及状态寄存器，综合反映单片机内部实际的工作状态及工作方式。
CPU,包含,中断系统,CPU 还包括中断系统和部分外部特殊功能寄存器。
CPU,包含,特殊功能寄存器,CPU 还包括中断系统和部分外部特殊功能寄存器。
片内RAM,扩展,片外RAM,片内 RAM 扩展得到片外 RAM。
数据存储器,等价,RAM,数据存储器同义于 RAM。
程序存储器,等价,ROM,程序存储器同义于 ROM。
单片机应用系统,包含,单片机,单片机是单片机应用系统的核心部分。
单片机,相关,发光二极管,单片机的并行端口 P1 - P3 可直接驱动发光二极管。
P1,相关,发光二极管,单片机并行端口 P1 可直接驱动发光二极管。
P2,相关,发光二极管,单片机并行端口 P2 可直接驱动发光二极管。
P3,相关,发光二极管,单片机并行端口 P3 可直接驱动发光二极管。
P0口,相关,通用I/O,P0 口作为总线口时，为双向口，作通用 I/O 用时，为准双向口\
I/O端口,相关,外设,I/O 端口是单片机与外设进行信息交换的桥梁。
C51,相关,reg51.h,在 C51 编译器中，对 I/O 端口特殊功能寄存器的声明包含在 reg51.h 头文件中。
发光二极管,连接,P1口,8 个发光二极管 LED0 - LED7 经限流电阻分别接至 P1 口的 P1.0 - P1.7 引脚上。
数组,相关,C51,数组是 C51 语言中的一种数据结构。
开关,连接,I/O端口,被检测的开关一端接到 I/O 端口的引脚上。
AT89S51单片机,包含,P1口,AT89S51 单片机包含 P1 口。
开关,相关,发光二极管,P1.4 - P1.7 上的开关状态反映在 P1.0 - P1.3 引脚控制的发光二极管上。
发光二极管,连接,P2口,LED0 - LED3 分别由 P2.0 - P2.3 引脚控制。
LED数码管,包含,发光二极管,LED 数码管由多个发光二极管组成，每段对应一个。
共阳极数码管,类型,LED数码管,共阳极数码管是 LED 数码管的一种类型。
共阴极数码管,类型,LED数码管,共阴极数码管是 LED 数码管的一种类型。
单片机,控制,LED数码管,单片机通过输出段码控制 LED 数码管显示字符。
段码,相关,LED数码管,用于控制 LED 数码管显示不同字符，是显示字符的二进制代码。
静态显示,类型,LED数码管显示方式,静态显示是单片机控制 LED 数码管的一种显示方式。
动态显示,类型,LED数码管显示方式,动态显示是单片机控制 LED 数码管的一种显示方式。
I/O口,相关,LED数码管,在静态显示和动态显示中，I/O 口用于控制 LED 数码管的段码和位选。
位驱动电路,相关,LED数码管,位驱动电路用于控制 LED 数码管的位选，实现动态扫描。
LED点阵显示器,包含,发光二极管,LED 点阵显示器由若干个发光二极管按矩阵方式排列组成。
图文显示器,类型,LED点阵显示器,图文显示器是 LED 点阵显示器的一种类型。
视频显示器,类型,LED点阵显示器,视频显示器是 LED 点阵显示器的一种类型。
单色LED点阵显示器,类型,LED点阵显示器,单色 LED 点阵显示器是 LED 点阵显示器的一种类型。
5×7点阵,类型,LED点阵显示器,5×7 点阵是 LED 点阵显示器按阵列点数划分的一种类型。
5×8点阵,类型,LED点阵显示器,5×8 点阵是 LED 点阵显示器按阵列点数划分的一种类型。
6×8点阵,类型,LED点阵显示器,6×8 点阵是 LED 点阵显示器按阵列点数划分的一种类型。
8×8点阵,类型,LED点阵显示器,8×8 点阵是 LED 点阵显示器按阵列点数划分的一种类型。
共阴极LED点阵,类型,LED点阵显示器,共阴极 LED 点阵是 LED 点阵显示器按极性排列划分的一种类型。
共阳极LED点阵,类型,LED点阵显示器,共阳极 LED 点阵是 LED 点阵显示器按极性排列划分的一种类型。
R0-R7,相关,LED点阵显示器,R0 - R7 是 8×8LED 点阵显示器的行线，用于控制发光二极管的行选。
C0-C7,相关,LED点阵显示器,C0 - C7 是 8×8LED 点阵显示器的列线，用于控制发光二极管的列选。
单片机,控制,16×16LED点阵显示器,单片机通过编程控制 16×16LED 点阵显示器显示字符。
16×16LED点阵显示器,包含,发光二极管,16×16LED 点阵显示器由多个发光二极管组成。
16×16LED点阵显示器,相关,8×8LED点阵显示模块,16×16LED 点阵显示器与 8×8LED 点阵显示模块内部结构及显示原理类似。
74LS154,类型,4-16译码器,74LS154 是 4 - 16 译码器的一种。
74HC154,类型,4-16译码器,74HC154 是 4 - 16 译码器的一种。
74LS07,相关,16×16LED点阵显示器,74LS07与 16×16LED 点阵显示器一起构成显示电路。
4-16译码器,相关,16×16LED点阵显示器,4 - 16 译码器用于控制 16×16LED 点阵显示器的行线电平。
P0口,相关,16×16LED点阵显示器,P0 口用于控制 16×16LED 点阵显示器的列线电平。
P1口,相关,16×16LED点阵显示器,P1 口的低 4 位经 4 - 16 译码器控制 16×16LED 点阵显示器的行线电平。
P2口,相关,16×16LED点阵显示器,P2 口用于控制 16×16LED 点阵显示器的列线电平。
R0-R15,相关,16×16LED点阵显示器,R0 - R15 是 16×16LED 点阵显示器的行线，用于控制发光二极管的行选。
C0-C15,相关,16×16LED点阵显示器,C0 - C15 是 16×16LED 点阵显示器的列线，用于控制发光二极管的列选。
L0-L15,相关,16×16LED点阵显示器,L0 - L15 是 74HC154 的译码输出线，经驱动后控制 16×16LED 点阵显示器的行线电平。
液晶显示器,包含,字段型液晶显示器,字段型液晶显示器是液晶显示器的一种类型。
液晶显示器,包含,字符型液晶显示器,字符型液晶显示器是液晶显示器的一种类型。
液晶显示器,包含,点阵图形型液晶显示器,点阵图形型液晶显示器是液晶显示器的一种类型。
液晶显示模块,包含,LCD1602液晶显示模块,LCD1602 液晶显示模块是液晶显示模块的一种。
字符库ROM,相关,LCD1602液晶显示模块,LCD1602 液晶显示模块内部具有字符库 ROM，用于显示字符。
ASCII码表,相关,LCD1602液晶显示模块,LCD1602 液晶显示模块显示的数字和字母代码与 ASCII 码表中的编码一致。
LCD1602液晶显示模块,包含,显示数据RAM,LCD1602 液晶显示模块内部有 80 字节的显示数据 RAM。
LCD1602液晶显示模块,包含,字符库ROM,LCD1602 液晶显示模块内部具有字符库 ROM。
LCD1602液晶显示模块,包含,自定义字符RAM,LCD1602 液晶显示模块内有 64 字节的自定义字符 RAM。
命令字,相关,LCD1602液晶显示模块,通过单片机向 LCD1602 写入命令字，实现对其初始化、读、写等操作。
命令字,包含,清屏命令,清屏命令是 LCD1602 的 11 个命令字之一，用于清屏并将光标返回地址 00H 位置。
命令字,包含,光标返回命令,光标返回命令是 LCD1602 的 11 个命令字之一，可使光标返回到地址 00H 位置
命令字,包含,显示模式设置命令,显示模式设置命令是 LCD1602 的 11 个命令字之一，用于设置地址指针加 1 或减 1 选择位以及屏幕上所有字符移动方向是否有效。
命令字,包含,显示开/关及光标设置命令,显示开 / 关及光标设置命令是 LCD1602 的 11 个命令字之一，用于控制屏幕整体显示、光标有无及光标闪烁情况。
命令字,包含,光标或字符移位命令,光标或字符移位命令是 LCD1602 的 11 个命令字之一，用于选择移动光标还是字符以及移位方向。
命令字,包含,功能设置命令,功能设置命令是 LCD1602 的 11 个命令字之一，可选择传输数据有效长度、显示器行数和字符显示的点阵。
命令字,包含,CGRAM地址设置命令,CGRAM 地址设置命令是 LCD1602 的 11 个命令字之一，用于设置自定义字符 RAM 的地址。
命令字,包含,显示数据RAM地址设置命令,显示数据 RAM 地址设置命令是 LCD1602 的 11 个命令字之一，用于设置 LCD 内部显示数据 RAM 地址指针，决定字符显示位置。
命令字,包含,读忙标志或地址命令,读忙标志或地址命令是 LCD1602 的 11 个命令字之一，用于读取 LCD 的忙标志或地址。
LCD1602液晶显示模块,相关,引脚,LCD1602 液晶显示模块通过引脚与单片机进行数据、命令传输和供电。
引脚,包含,数据线,LCD1602 液晶显示模块的引脚包括 8 条数据线。
引脚,包含,控制线,LCD1602 液晶显示模块的引脚包括 3 条控制线。
引脚,包含,电源线,LCD1602 液晶显示模块的引脚包括 3 条电源线。
LCD1602液晶显示模块,包含,BF,BF 是 LCD1602 的忙标志位，用于指示其工作状态。
LCD1602液晶显示模块,相关,显示模式设置命令,通过向 LCD1602 写入显示模式设置命令，可设置其显示模式。
LCD1602液晶显示模块,相关,显示开/关及光标设置命令,利用该命令可控制 LCD1602 的显示、光标及光标闪烁情况。
LCD1602液晶显示模块,相关,光标或字符移位命令,此命令可实现对 LCD1602 光标或字符的移位操作。
显示数据RAM,包含,可显示区域,可显示区域是显示数据 RAM 中能使字符立即显示的区域。
显示数据RAM,包含,隐藏区域,隐藏区域是显示数据 RAM 中字符不能立即显示，需移位才能显示的区域。
LCD1602液晶显示模块,相关,LCD1602的复位,LCD1602 上电后按复位操作进行初始化设置。
LCD1602液晶显示模块,相关,写命令,向 LCD1602 写入命令，实现各种功能设置和操作。
LCD1602液晶显示模块,相关,读数据,从 LCD1602 读取数据，获取其内部状态或数据信息。
AT89S51单片机,连接,LCD1602液晶显示模块,AT89S51 单片机通过引脚与 LCD1602 液晶显示模块连接，实现控制。
AT89S51单片机,包含,P2.0,AT89S51 单片机的 P2.0 引脚与 LCD1602 的 RS 引脚连接，用于控制读写操作。
AT89S51单片机,包含,P2.1,AT89S51 单片机的 P2.1 引脚与 LCD1602 的 R/W 引脚连接，用于控制读写操作。
AT89S51单片机,包含,P2.2,AT89S51 单片机的 P2.2 引脚与 LCD1602 的 E 引脚连接，用于控制读写操作。
RS,连接,AT89S51单片机,LCD1602 的 RS 引脚与 AT89S51 单片机的 P2.0 引脚连接。
R/W,连接,AT89S51单片机,LCD1602 的 R/W 引脚与 AT89S51 单片机的 P2.1 引脚连接。
E,连接,AT89S51单片机,LCD1602 的 E 引脚与 AT89S51 单片机的 P2.2 引脚连接。
out,相关,AT89S51单片机,out 与 AT89S51 单片机的 P0 口相关，用于获取 P0 口状态。
P0口,相关,LCD1602液晶显示模块,P0 口用于向 LCD1602 发送命令和数据。
P0.7,相关,BF,通过检测 P0.7 引脚电平来判断 BF 状态，进而决定是否可对 LCD1602 写命令。
LM016L,等价,LCD1602液晶显示器,LM016L 是 LCD1602 液晶显示器在 Proteus 中的仿真模型，引脚信号相同。
LM016L,包含,数据线D7-D0,数据线 D7 - D0 是 LM016L 的引脚，用于传输数据。
LM016L,包含,控制线RS、RW、E,控制线 RS、RW、E 是 LM016L 的引脚，用于控制 LM016L 的读写等操作。
LM016L,包含,电源线VDD、VEE,电源线 VDD、VEE 是 LM016L 的引脚，为其提供电源。
LM016L,包含,地线Vm,地线 Vm 是 LM016L 的引脚，用于接地。
AT89C51,控制,LM016L,AT89C51 单片机用于控制 LM016L的显示。
LM016L,相关,RP1,RP1 作为排电阻，在电路中与 LM016L 共同构成完整电路，可能用于分压等作用。
LM016L,相关,RP2,RP2 作为排电阻，在电路中与 LM016L 共同构成完整电路，可能用于分压等作用。
LM016L,相关,POT-LIN,POT - LIN在电路中与 LM016L 相连，可能用于调节电路参数。
KeilμVision3,相关,程序设计,通过 Keil μVision3 建立工程和源程序文件，用于编写控制 LM016L 显示的程序。
lcdinitial,相关,LM016L,lcd_initial 函数用于对 LM016L 进行初始化设置。
checkbusy,相关,LM016L,check_busy 函数用于检测 LM016L 的忙标志位，判断是否可进行写操作。
writecommand,相关,LM016L,write_command 函数用于向 LM016L 写入命令，实现各种功能设置。
writedata,相关,LM016L,write_data 函数用于将显示数据写入 LM016L 的显示数据 RAM。
string,相关,LM016L,string 函数用于在 LM016L 上显示字符串。
delay,相关,LM016L,delay 函数用于延时，在控制 LM016L 显示过程中起到时间控制作用。
main,相关,C51程序,main 函数是 C51 程序的主函数，是程序执行的入口，用于调用其他函数实现 LM016L 显示控制。
P0口,相关,LM016L,AT89C51 的 P0 口用于向 LM016L 发送命令和数据。
P2口,相关,LM016L,AT89C51 的 P2 口通过位变量 RS、RW、E 与 LM016L 相连，控制其读写操作。
P2.0,相关,RS,AT89C51 的 P2.0 引脚与 RS 位变量相连，用于控制 LM016L 的读写操作类型。
P2.1,相关,RW,AT89C51 的 P2.1 引脚与 RW 位变量相连，用于控制 LM016L 的读写操作方向。
P2.2,相关,E,AT89C51 的 P2.2 引脚与 E 位变量相连，用于控制 LM016L 的读写操作时机。
排电阻,相关,电路,RP1 和 RP2 作为排电阻是电路的组成部分，与其他元器件共同构成控制 LM016L 显示的电路。
ISIS,相关,电路设计,在 ISIS 软件中完成放置元器件、连线等电路设计操作，用于构建控制 LM016L 显示的硬件电路。
单片机,连接,键盘,单片机与键盘相连，用于获取键盘输入信息。
键盘,包含,按键,键盘由若干按键组成。
有触点开关按键,包含,触摸式键盘,触摸式键盘是有触点开关按键的一种。
有触点开关按键,包含,薄膜键盘,薄膜键盘是有触点开关按键的一种。
有触点开关按键,包含,导电橡胶键盘,导电橡胶键盘是有触点开关按键的一种。
有触点开关按键,包含,按键式键盘,按键式键盘是有触点开关按键的一种。
无触点开关按键,包含,电容式按键,电容式按键是无触点开关按键的一种。
无触点开关按键,包含,光电式按键,光电式按键是无触点开关按键的一种。
无触点开关按键,包含,磁感应按键,磁感应按键是无触点开关按键的一种。
按键,连接,行线,键盘中的按键两端分别连接在行线和列线上。
按键,连接,列线,键盘中的按键两端分别连接在行线和列线上。
行线,相关,按键状态检测,单片机通过检测行线电平状态来判断按键是否按下。
列线,相关,按键状态检测,列线接地，与行线配合用于检测按键状态。
非编码键盘,类型,键盘,非编码键盘是键盘的一种类型。
编码键盘,类型,键盘,编码键盘是键盘的一种类型。
独立式键盘,类型,非编码键盘,独立式键盘是非编码键盘的一种常见结构。
矩阵式键盘,类型,非编码键盘,矩阵式键盘是非编码键盘的一种常见结构。
k1-k8,连接,P1口,8 个按键 k1 - k8 分别接到单片机的 P1.0 - P1.7 引脚上。
